腿 搁在办公桌上,办公桌
那时候放松到把homies全都叫妹~子,放松
没完你根本不能放下肩膀去relax,没完
By the way 这首歌就是复数,首歌
把你震荡烦躁的心情变负数,负数
和世俗划清界限收放力度,划清界限
Yeah fresh who 让你记住,记住
Fresh flow 躺在沙发午后一直roll
You already know 我独步就在沙滩走,沙滩
熟悉在午后 平静地等待着黄昏,熟悉
一杯咖啡 把心情调整到正青春,青春
会有点小疲倦 惺忪的双眼,有点
听着舒缓的音乐 把下午装点,装点
更多的时间 来看书净化心灵,净化
望着蓝天 来调整自己的心情,蓝天
越来越成熟 改变自己的心境,改变
因为是调味 放松大脑来倾听,调味
午后的蝉鸣 伴随着青春走过的脚印,蝉鸣
活着的证明 把一切看得更仔细,活着
具体的事项 要问问外界来决定,问问
人是飞翔和自由的
喜欢上下午时光恬淡和透明的,时光
是时候把自己释放,释放
你所拥有的 是那一抹午后的阳光,阳光
Fresh flow 躺在沙发午后一直roll
You already know 我独步就在沙滩走,沙滩
我停在左手是常温的茶杯,常温
柔软的质感像回到夏天蝉归,质感
反正没事做 那干脆干杯,干杯
你和我一样也有good hobby all free
午后的酒 让人开始容易醉,开始
午后像是after party 有很多妹,像是
我早就准备好了座位布满香味,布满
You wanna fell me~？ 你知道将会,知道
在一个全新的世界 你会看到自己一个决定,看到
让你找到生命意义,生命
深奥的讨论 我们还在继续,讨论
你需要open your heart 逃出禁闭,禁闭
在这个沙发 我布置抱枕,布置
I wanna tell you friend 如果你再困
请带着灵感 让身体松软,身体
陷进沙发的深处 爱充满,陷进
Fresh flow 躺在沙发午后一直roll
You already know 我独步就在沙滩走,沙滩
都在变吗
无意间看见过去的相片,相片
哪怕是哭着脸也感觉那是美好的画面,画面
自己不相信的事总是去实践,实践
去实现 NOT IMPOSSIBLE全世界会不会断电,断电
借下充电器 怕手机没电,借下
没有安全感的我拿着手机让朋友陪在身边,安全感
陪我聊天 看着自己喝醉吐到断片,断片
回到家怕安静所以我放着音乐,安静
循环播放着最近爱听的歌曲,播放
心中那些感叹 期待在心中默许,感叹
睡前总提醒自己明天一切都会好的,睡前
所以关注老天爷会不会来场倾盆大雨,来场
现实的压力逼得自己快喘不过气,现实
但是 从没有想过放弃,放弃
我整天笑嘻嘻
还要照顾身边所有兄弟,照顾
就算被算计 就算他在骗我,就算
我也会选择相信,相信
这不是懦弱 也不叫单纯
是我宁愿在这肮脏的世界,世界
选择做个好人,好人
我也是肉做的 心也会疼
只是
我选择逃出这世界的方式是,逃出
关上房门,房门
人越老 胆越小
以前那么爱闹事的我,闹事
现在也怕上火,上火
左手骨折是因为年轻飞来横祸,骨折
都不知道躲,知道
我不想放慢脚步,放慢
因为想要最甜的苹果,苹果
哒哒哒哒哒哒哒啦~
跟我不熟的人都说我做人有两面,做人
OK我正面回答,回答
我只是不想被这复杂的社会改变,不想
不想被毁灭,毁灭
我保持着应有的界线,界线
妈妈说酒伤身体还是跟朋友喝着,妈妈
爸爸 说少抽烟,抽烟
朋友点的开的烟我还是抽了,朋友
软弱的拳头还是为朋友出了,拳头
到底交情跟友情中间相差着什么,友情
我不想依赖 也不想被依赖,依赖
慢慢我不在期待 心中缺的那一块,期待
如果真情还在,真情
为什么真和情还要攀比和比赛,攀比
都在演戏,演戏
生活没办法只能用尽全力,办法
直到呼出的最后一口气,呼出
梦想如果是飞上天空,梦想
那我宁愿踏实的踩着大地,大地
虚伪的同情我不在需要,同情
也不再依靠 哪怕身边不在喧闹,喧闹
我不想被自己绕,不想
我想回主轨道,回主
不要再对我取笑,取笑
今天出门忘吃药 啊~,吃药
请你不要跟我计较,计较
如果可以请你给我一个拥抱,拥抱
如果可以请你给我一个拥抱,拥抱
穿过吵杂的街道 一个适当的拥抱,吵杂
别让我哭着面对你的微笑,微笑
如果没有了调料,调料
到底还有多少的事你不知道,还有
Girl I dont play 我卸下了防备,卸下
你知道我口味 品尝你的美,品尝
记清楚我是谁 Girl 别在意 再猜疑 太爱你,猜疑
她还在对我追问,追问
我会过的更加比你好,我会
后悔会再次发生,后悔
还是习惯晚上开灯,开灯
我根本不是外人,外人
夜空想起了你给的吻,夜空
电话铃响起 猜到了是你 熟悉不过的声音,电话铃
打乱了思绪 身体不安定 外表出卖了自己,打乱
轨道已偏离 但我却 还是非常在意,在意
靠在我温暖的双肩让我陪你度过这个的冬天,双肩
占有欲太过强烈 只对你才有感觉,占有欲
温柔的霸占了你 触碰着 碰撞着沉入海底,霸占
让你的闺蜜全部羡慕,闺蜜
他到底是有多么炫酷
我有我感人的的招数,招数
你也有所谓可怕的套路,套路
Girl I dont play 我卸下了防备,卸下
你知道我口味 品尝你的美,品尝
记清楚我是谁 Girl 别在意 再猜疑 太爱你,猜疑
要就怪我一无是处
还没开始就想认输,认输
开着手机解锁屏幕,解锁
你和他聊天聊的深入,深入
我掌握不了规则没有对策,对策
撑不过几个回合,回合
那是我问错了问题,问题
谁能告诉我答案怎么推测,推测
还是aye aye aye aye 怎么都学不会,不会
多看一眼你有我喜欢的口味,口味
是我不对
无路可退,可退
我拿着谁的电话拨了号码问你想着谁,号码
谁骗了谁的一切装作无所谓,装作
girl i don't play全都是被迫,全都
我只被当做你的垫背not you baby,垫背
在梦里想着你you are my little poppy,想着
我已无路可退,可退
都是我不对
我已无言可对
每当你在伤心流泪想着谁,流泪
我只能猜着你在想的谁,只能
Girl I dont play 我卸下了防备,卸下
你知道我口味 品尝你的美,品尝
记清楚我是谁 Girl 别在意 再猜疑 太爱你,猜疑
让我给你一个挡不住吻,挡不住
虽然你给我的感觉总是有点挡不住蠢,挡不住
其实你就是我一直想要寻找 姗姗来迟,想要
但又难以抗拒 让我欢喜让我 忧 又挡不住的笨,挡不住
知道吗 你就是我想要的自由,想要
也是我停下脚步唯一 想要紧紧牵着 的手,停下
歌词还带着一点笨 别再问,歌词
午夜十分的你的陪伴总是会让我感觉不再困,陪伴
我们相遇在雨季 一直陪我走到了晴天,相遇
从荒凉的沙漠 一直陪我到稀少的人烟,人烟
想你和在夕阳下 和你牵手祈祷着明天,牵手
你像是美丽的天使突然降落到我的人间,降落
从认识开始到现在 其实我一直很,认识
喜欢你 永远不会变坏 你离开我会一直等,变坏
你会在 不经意间 很认真的鼓励我,鼓励
我是迷路的背包客 你是夜晚 明亮的灯,背包客
你笨在撒谎的时候一眼就能被我看穿,看穿
你会经常都 醒的很早然后陪我一起去上班,上班
你将会是我今后唯一情感 的路,情感
像一本一旦打开 就不想合上的书,合上
让我当做你的书签 从夏天到秋,书签
不管翻到哪页 我都会一直在你身边,翻到
我会用心去解读你的每一段的文字,用心
读懂你的世界然后留下我一半的名字,读懂
让我当做你的书签 让我留在你身边,书签
让我陪你去过冬天 让我当做你的眼,当做
让我走进你的世界 悄悄送给你快乐,送给
让我走进你的黄昏和黎明 告诉你我爱着,黎明
有你寒冷的夜 冰雪都融化了,融化
穿过四下无人的街 跟你说声我亲爱的,无人
就算全世界都失眠 你把我夜晚照亮,照亮
你是漫天的繁星 来自遥远的惆怅,繁星
你是夜晚星 只是没有落,没有
无数夜晚的冰 我从来的没有过,没有
当你出现在我的世界出走遍所有的角落,走遍
一颗真诚的心在那时就已经被你缴获,缴获
我爱着你 也想要在这里,想要
哦 拜托你 请在歌里听一颗跳动的心脏,跳动
扑通扑通在我快乐里
我不想跟你吵架不想让你生气,不想
但每一次的言语却如刀子般锋利,刀子
想和你呼 吸 在同 一片天空的空气,天空
我想给你一个安稳的生活然后让你中意,中意
你说你这辈子 可能就是我了吧,可能
如果我伸出了手 你是否会一直 握着它,了手
就算你是有毒的酒 我会毫不犹豫喝了它,我会
向全世界宣布其实你就是那个我的她,全世界
就让我牵着你的手 往我的生活里面走,就让
一起写歌录歌 不会 去做 说唱圈子里狗,写歌
和你没有 套 路的爱情 你就是我的圣战,爱情
如果我输了 请纪念2016的圣诞,纪念
让我摸佛你的脸颊想让你听着对你说着情话,情话
你的手机来着电话你不想接只是对我牵挂,牵挂
好久不见你的样子怎么没变,样子
笑容没变,笑容
语气没变,语气
当然手感没变你的眼泪还是很咸,没变
给我说着你的男人一点也不像我这么温柔,男人
给你说着我现在遇到的问题和想你的时候,遇到
很多人都变了
我变的像个石头,石头
只有在你身边才能融化我让我失手,失手
让我停手,停手
像个小孩子对你依赖,小孩子
寂寞夜晚你都不在
所以很珍惜你在的时候,时候
我感觉很失败,失败
我其实一点都不坏,不坏
只要你出现,出现
我射不出箭,射不出
为了让你飞翔在我胸膛,胸膛
你对我着我讲
爱我就加快速度,加快速度
你告诉我让你兴奋过度！,过度
被你扔掉的旧照片,扔掉
曾经摆放在你床头左边,摆放
我们的缠绵好像就在昨天,好像
可你 搬去新的房间,搬去
会想给你发条短信 手在键盘上乱点,上乱
才发现我们的关系 就像两条平行线,平行线
我知道 这些没有什么关系,关系
出去散心 这也不是什么难题,散心
不管干什么都显得没有平时有趣,显得
因为我怕没人比我更懂你,没人
选择逃避所以选择滑动屏幕关机,选择
不再考虑问题因为明天还要早起,早起
我知道 其实这我都知道,知道
没来得及送我给你买的手套,手套
带着你说过你最喜欢的手表,手表
地下城天空装我集齐了一套,集齐
彻底删除会不会,删除
脑袋少许有点累,有点累
一丝难受我的胃,难受
喝白开水也会醉,白开水
最害怕的就是没人比我懂你,没人
娇生惯养的你衣服不会手洗,娇生惯养
烦躁的我在家不断roll来roll去
唯一做的就是在大脑里想你,大脑
骗自己
摆着有六张床位的房间只剩我一个,床位
很期待有个人能和我对话会是谁呢,期待
坐在窗台看不见路人手机却挥着,窗台
自己跟自己对话 我做自己的hater,对话
独自睡觉不 关灯 因为双子星座,双子星
没胆量面对黑暗所以找点心灵寄托,胆量
也许我天生注定不能成为rap singer,注定
对梦想只能痴心妄想的不只我一个,梦想
Zaluu说想靠说唱梦想让他白手起家,说唱
我说这不可能 除非评委眼瞎,眼瞎
所有生活里的东西还是喜欢嘻哈,喜欢
我想换个兴趣爱好可找不到其他,可找
关掉紫色的大灯 整理思绪,关掉
隔壁吵闹很大声 非常有趣,吵闹
听说隔壁男主人 帽子很绿,男主人
十平米正方形 空间 我漫无目的,正方形
漫无目的走来走去大概也许无聊
计划今年夏天存钱要买一台空调,今年夏天
买了空调我不用 我把它送给你,空调
我说的都是假的 我只在骗自己
我就是骗自己 无限的骗自己,无限
唯一真实就是我的生活还有你,生活
不想再骗自己 把它写进柜子里,柜子
从头到位一如既往还在骗自己,从头
骗自己 骗来骗去全部是自我安慰,骗来骗去
李代沫犯了错却没有一点点的防备,代沫
2002年的第一场雪特别的昂贵
刀郎的手心里还残留你身上的香味,刀郎
我也会copy 我也会粘贴复制,粘贴
最讨厌那些骗自己的打针护士,打针
如果可以删除所有坏的故事,删除
就像在掩耳盗铃 我就是这么的固执
说下个学期好好学习都是骗自己的,好好学习
说下个礼拜每天早起还是骗自己的,早起
说明天中午按时吃饭也是骗自己呢,吃饭
说以后的人生要快乐又在骗自己吧,人生
我就是骗自己 无限的骗自己,无限
唯一真实就是我的生活还有你,生活
不想再骗自己 把它写进柜子里,柜子
从头到尾一如既往还在骗自己
喂 你现在在干嘛 你在studio里干嘛,干嘛
唱rap啊 唱rap有什么意义啊,意义
公司的事你全都不管 啊你这样真的缺打,缺打
我不想因为玩饶舌,饶舌
因为有听众,听众
言语不能够自由,言语
从而感到特别的发愁,发愁
面对每个hater,面对
不是因为害怕受攻击,害怕
而是因为有时候我是真的不在意
与其浪费时间,浪费时间
跟他们吵架,吵架
不如戴着耳机在,耳机
海边懒散度个假,懒散
听着KC对世界毁灭的看法,毁灭
急忙打开钱包看看银行卡在哪,钱包
阳光大的有点太刺眼,刺眼
Bikini美女跑的太快眼看要漏点,漏点
隔壁帅哥 时不时就对我放个电,帅哥
说句实话你笑得特别傻还特么的贱
Slow down 让我翻个面,个面
好歹全身上下都要均匀晒个遍,好歹
不然浪费了整个下午的紫外线,紫外线
向十年东南亚的生活说有缘再见ya,有缘
今天星期几
应该是星期四,应该
我想来想去都只能够怪我太机智,怪我太
闭上眼睛考虑考虑我的人生大事,人生大事
到底是吃叻沙？粿条？还是吃烤翅？haha
PhoneCall 东莞廖总hhh,东莞
